true_label,final_decision,count,split_seed
healthy,healthy,12,0
healthy,uncertain,6,0
ld_mismatch,uncertain,36,0
rs_drift,rs_drift,48,0
healthy,healthy,12,1
healthy,uncertain,6,1
ld_mismatch,uncertain,36,1
rs_drift,rs_drift,48,1
healthy,healthy,12,2
healthy,uncertain,6,2
ld_mismatch,uncertain,36,2
rs_drift,rs_drift,48,2
healthy,healthy,12,3
healthy,uncertain,6,3
ld_mismatch,uncertain,36,3
rs_drift,rs_drift,48,3
healthy,healthy,12,4
healthy,uncertain,6,4
ld_mismatch,uncertain,36,4
rs_drift,rs_drift,48,4
